n,run,theta_NO,theta_BH,t_NO,t_BH
10,0,3.660004585981369e-05,0.002603400032967329,0.002075799973681569,0.00034529995173215866
10,1,2.5999965146183968e-05,0.0004140000091865659,0.0014572000363841653,0.00023820006754249334
10,2,2.2699940018355846e-05,0.0004192999331280589,0.0012610000558197498,0.00020100001711398363
10,3,2.359994687139988e-05,0.00041259999852627516,0.0015931000234559178,0.0001509999856352806
10,4,2.2399937734007835e-05,0.0004062000662088394,0.00134529999922961,0.0005253999261185527
10,5,2.310005947947502e-05,0.0004091999726369977,0.001358899986371398,0.0003958999877795577
10,6,2.2900057956576347e-05,0.0004107999848201871,0.0010634999489411712,0.00019890000112354755
10,7,2.2500054910779e-05,0.0003992000129073858,0.001448199967853725,0.0003339999821037054
10,8,2.6499968953430653e-05,0.00039930001366883516,0.001263100071810186,0.0004486000398173928
10,9,2.3000058718025684e-05,0.00040369993075728416,0.002854099962860346,0.0005743000656366348
10,10,2.329994458705187e-05,0.00039510009810328484,0.001079200068488717,0.0003497999859973788
10,11,2.2999942302703857e-05,0.0004140998935326934,0.0011248000664636493,0.000381499994546175
10,12,2.350006252527237e-05,0.0003953000996261835,0.0011941000120714307,0.00024480000138282776
10,13,2.2499938495457172e-05,0.00040010001976042986,0.0010465000523254275,0.0003790999762713909
10,14,2.2099935449659824e-05,0.00039739999920129776,0.0012319000670686364,0.00039569998625665903
10,15,2.2400054149329662e-05,0.00038860004860907793,0.0010883999057114124,0.00044299999717622995
10,16,2.210005186498165e-05,0.000391000066883862,0.0015196999302133918,0.00034689996391534805
10,17,2.1900050342082977e-05,0.00039219995960593224,0.0010498999617993832,0.00018269999418407679
10,18,2.529995981603861e-05,0.0003918999573215842,0.0012672999873757362,0.0004572001053020358
10,19,2.1699932403862476e-05,0.00039309996645897627,0.0010421000188216567,0.00023720005992799997
10,20,2.2500054910779e-05,0.0003918000729754567,0.0011546999448910356,0.000535300001502037
10,21,2.22999369725585e-05,0.00039579998701810837,0.0015362000558525324,0.0001412000274285674
10,22,2.2300053387880325e-05,0.0003864000318571925,0.0010757999261841178,0.00039279996417462826
10,23,2.2099935449659824e-05,0.00038870004937052727,0.001284400001168251,0.00040119991172105074
10,24,2.189993392676115e-05,0.00039570010267198086,0.0013547000708058476,0.00022879999596625566
10,25,2.22999369725585e-05,0.0004007000243291259,0.0014356001047417521,0.00039439997635781765
10,26,2.259993925690651e-05,0.0003980000037699938,0.0009556000586599112,0.0001401999033987522
10,27,2.189993392676115e-05,0.0004112999886274338,0.00115130003541708,0.0007203000131994486
10,28,2.259993925690651e-05,0.000408099964261055,0.0010705000022426248,0.0003309000749140978
10,29,2.2999942302703857e-05,0.00039299996569752693,0.0008427000138908625,0.00022810010705143213
10,30,2.2399937734007835e-05,0.00041259999852627516,0.001640800037421286,8.789997082203627e-05
10,31,2.2000051103532314e-05,0.0003891999367624521,0.0011153999948874116,0.0004024000372737646
10,32,2.2600055672228336e-05,0.00039900001138448715,0.001587799983099103,0.00043379992712289095
10,33,2.22999369725585e-05,0.0004205000586807728,0.001216700067743659,0.0001385000068694353
10,34,2.1700048819184303e-05,0.0003960999893024564,0.001058399910107255,0.0005650999955832958
10,35,2.1699932403862476e-05,0.000404000049456954,0.0014028000878170133,0.0002813000464811921
10,36,2.2399937734007835e-05,0.00039409997407346964,0.001381400041282177,0.00019479996990412474
10,37,2.2500054910779e-05,0.00039739999920129776,0.0013201000401750207,0.00013770000077784061
10,38,2.1699932403862476e-05,0.00039030006155371666,0.0011291999835520983,0.0005425999406725168
10,39,2.22999369725585e-05,0.0003869000356644392,0.0014221000019460917,0.00036449998151510954
10,40,2.189993392676115e-05,0.0003955999854952097,0.0012675999896600842,0.00018990004900842905
10,41,2.210005186498165e-05,0.0003926999634131789,0.0012474999530240893,0.00047179998364299536
10,42,2.189993392676115e-05,0.00039240007754415274,0.0010497000766918063,0.00018800003454089165
10,43,2.3499946109950542e-05,0.0003974999999627471,0.0013670000480487943,0.0004643999272957444
10,44,2.2000051103532314e-05,0.0003909000661224127,0.00129060004837811,0.00044510001316666603
10,45,2.5799963623285294e-05,0.00039249996189028025,0.0013191000325605273,0.00043130002450197935
10,46,2.1700048819184303e-05,0.0003874000394716859,0.0009472999954596162,0.000440100091509521
10,47,2.2300053387880325e-05,0.0003936999710276723,0.0014053999911993742,0.0002894999925047159
10,48,2.1600048057734966e-05,0.00039109995122998953,0.0011755999876186252,0.0004520000657066703
10,49,2.150004729628563e-05,0.000372599926777184,0.0010665999725461006,0.0003568000392988324
